Name,Code,Country,Employees,CEO Name,CEO Born
DiDi Global Inc.,DIDIY,Beijing 100000,"24,396",Mr. Wei  Cheng,1983
XPeng Inc.,XPEV,Guangzhou 510640,"13,955",Mr. Xiaopeng  He,1978
Farfetch Limited,FTCH,London EC1V 9NR,"6,464",Mr. José Ferreira Neves,1975
NIO Inc.,NIO,Shanghai 201804,"15,204",Mr. William  Li,1974
"Tesla, Inc.",TSLA,United States,"99,290",Mr. Elon R. Musk,1972
